contract_amount,ejari_property_sub_type_ar,project_name_en,ejari_bus_property_type_ar,property_usage_en,contract_id,ejari_property_sub_type_en,project_name_ar,property_usage_ar,area_id,tenant_type_en,contract_start_date,contract_end_date,nearest_metro_en,ejari_bus_property_type_id,no_of_prop,line_number,nearest_mall_en,nearest_metro_ar,ejari_bus_property_type_en,ejari_property_sub_type_id,nearest_mall_ar,tenant_type_id,annual_amount,contract_reg_type_en,ejari_property_type_en,is_free_hold,master_project_en,contract_reg_type_ar,ejari_property_type_ar,nearest_landmark_en,area_name_en,load_timestamp,nearest_landmark_ar,ejari_property_type_id,area_name_ar,project_number,actual_area,tenant_type_ar,master_project_ar,contract_reg_type_id
"35000","مكتب","","وحدة","Commercial","CNT735663311","Office","","تجاري","355","Authority","2017-11-01","2018-10-31","STADIUM Metro Station","2","1","1","City Centre Mirdif","محطة مترو الاستاد","Unit","422","سيتي سنتر مردف","1","35000","Renew","Office","0","","تجديد","مكتب","Dubai International Airport","Al Nahda First","2025-12-11 23:26:31","مطار دبي الدولي","2","النهده الاولى","null","95","جهة","","2"
"110000","غرفتين و صالة","","وحدة","Residential","CNT358911510","2 bed rooms+hall","","سكني","443","Person","2015-10-16","2016-10-15","Dubai Internet City","2","1","1","Mall of the Emirates","مدينة دبي للإنترنت","Unit","2","مول الإمارات","0","110000","New","Flat","0","","جديد","شقه","Burj Al Arab","Al Thanyah First","2025-12-11 23:26:31","برج العرب","842","الثنيه الأولى","null","91","شخص","","1"
"47243","سكن عمال","","وحدة افتراضية","Residential","CNT2123801398","Labor Camp","","سكني","360","Authority","2024-09-18","2024-12-31","Etisalat Metro Station","5","43","21","City Centre Mirdif","محطة مترو اتصالات","Virtual Unit","38","سيتي سنتر مردف","1","164246","New","Labor Camps","0","","جديد","سكن عمال","Dubai International Airport","Muhaisanah Second","2025-12-11 23:26:31","مطار دبي الدولي","4","محيصنه الثانيه","null","null","جهة","","1"
"175000","ثلاثة غرفة و صالة","","وحدة","Residential","CRT259638206","3 bed rooms+hall","","سكني","526","Person","2014-11-25","2015-11-24","Business Bay Metro Station","2","1","1","Dubai Mall","محطة مترو الخليج التجاري","Unit","3","مول دبي","0","175000","New","Flat","1","Business Bay","جديد","شقه","Burj Khalifa","Business Bay","2025-12-11 23:26:31","برج خليفة","842","الخليج التجارى","null","204","شخص","الخليج التجاري","1"
"24855","غرفه سكن عمال","","وحدة","Residential","CNT669534470","Room in labor Camp","","سكني","395","Authority","2017-01-20","2017-04-19","DANUBE Metro Station","2","4","4","Ibn-e-Battuta Mall","محطة مترو الدانوب","Unit","12","ابن بطوطة مول","1","99420","New","Labor Camps","0","","جديد","سكن عمال","Expo 2020 Site","Jabal Ali Industrial First","2025-12-11 23:26:31","موقع إكسبو 2020","4","جبل على الصناعية الأولى","null","14","جهة","","1"
"15000","مكتب","","وحدة افتراضية","Commercial","CNT2130880567","Office","","تجاري","247","Authority","2025-05-12","2026-05-11","Abu Baker Al Siddique Metro Station","5","1","1","City Centre Mirdif","محطة مترو أبو بكر الصديق","Virtual Unit","422","سيتي سنتر مردف","1","15000","New","Office","0","","جديد","مكتب","Dubai International Airport","Al Khabeesi","2025-12-11 23:26:31","مطار دبي الدولي","2","الخبيصى","null","null","جهة","","1"
"99960","مكتب","","وحدة","Commercial","CNT330418506","Office","","تجاري","341","Authority","2015-06-06","2016-06-05","Trade Centre Metro Station","2","1","1","Dubai Mall","محطة مترو المركز التجاري","Unit","422","مول دبي","1","99960","Renew","Office","0","","تجديد","مكتب","Burj Khalifa","Trade Center First","2025-12-11 23:26:31","برج خليفة","2","المركز التجارى الاولى","null","66","جهة","","2"
"40544","","","أرض","Industrial / Commercial","CNT396459580","","","صناعي / تجاري","378","Person","2016-02-01","2017-01-31","Emirates Metro Station","0","1","1","City Centre Mirdif","محطة مترو الامارات","Land","null","سيتي سنتر مردف","0","40544","Renew","","0","","تجديد","","Dubai International Airport","Al Garhoud","2025-12-11 23:26:31","مطار دبي الدولي","null","القرهود","null","1185","شخص","","2"
"2296080","غرفه سكن عمال","","وحدة","Residential","CNT2131540707","Room in labor Camp","","سكني","453","Authority","2025-07-21","2026-07-20","","2","71","30","","","Unit","12","","1","2296080","Renew","Labor Camps","0","","تجديد","سكن عمال","Al Makhtoum International Airport","Saih Shuaib 2","2025-12-11 23:26:31","مطار آل مكتوم الدولي","4","سيح شعيب 2","null","22","جهة","","2"
"13332","محل","","وحدة","Commercial","CNT2020848437","Shop","","تجاري","367","Authority","2022-09-01","2022-12-31","Al Fahidi Metro Station","2","1","1","Dubai Mall","محطة مترو الفهيدي","Unit","421","مول دبي","1","39996","New","Shop","0","","جديد","محل","Dubai International Airport","Al Suq Al Kabeer","2025-12-11 23:26:31","مطار دبي الدولي","1","السوق الكبير","null","17","جهة","","1"
