Quarter,الربع السنوي,Description,HeaderField_Id,Title,HeaderField_Id2,العنوان,Quarter_Number,Type,الوصف,Year,Value,Item_id,النوع
"Second Quarter","الربع الثاني","Value","22487","Mortgages","23248","الرهون","2","Units","قيمة","2017","2753347961","362883","وحده"
"Second Quarter","الربع الثاني","Number","22488","Mortgages","23248","الرهون","2","Units","عدد","2017","2097","362883","وحده"
"Second Quarter","الربع الثاني","Value","22489","Mortgages","23249","الرهون","2","Building","قيمة","2017","1250665005","362883","مبنى"
"Second Quarter","الربع الثاني","Number","22490","Mortgages","23249","الرهون","2","Building","عدد","2017","472","362883","مبنى"
"Second Quarter","الربع الثاني","Value","22491","Mortgages","23250","الرهون","2","Land","قيمة","2017","24906273752","362883","أرض"
"Second Quarter","الربع الثاني","Number","22492","Mortgages","23250","الرهون","2","Land","عدد","2017","1253","362883","أرض"
"Second Quarter","الربع الثاني","Value","22487","Other","23248","أخرى","2","Units","قيمة","2017","618729173","362884","وحده"
"Second Quarter","الربع الثاني","Number","22488","Other","23248","أخرى","2","Units","عدد","2017","520","362884","وحده"
"Second Quarter","الربع الثاني","Value","22489","Other","23249","أخرى","2","Building","قيمة","2017","26719908","362884","مبنى"
"Second Quarter","الربع الثاني","Number","22490","Other","23249","أخرى","2","Building","عدد","2017","15","362884","مبنى"
"Second Quarter","الربع الثاني","Value","22491","Other","23250","أخرى","2","Land","قيمة","2017","2257815741","362884","أرض"
"Second Quarter","الربع الثاني","Number","22492","Other","23250","أخرى","2","Land","عدد","2017","198","362884","أرض"
"Third Quarter","الربع الثالث","Value","22487","Sales","23248","المبايعات","3","Units","قيمة","2017","12789784042","362882","وحده"
"Third Quarter","الربع الثالث","Number","22488","Sales","23248","المبايعات","3","Units","عدد","2017","9391","362882","وحده"
"Third Quarter","الربع الثالث","Value","22489","Sales","23249","المبايعات","3","Building","قيمة","2017","1866854388","362882","مبنى"
"Third Quarter","الربع الثالث","Number","22490","Sales","23249","المبايعات","3","Building","عدد","2017","795","362882","مبنى"
"Third Quarter","الربع الثالث","Value","22491","Sales","23250","المبايعات","3","Land","قيمة","2017","10853043033","362882","أرض"
"Third Quarter","الربع الثالث","Number","22492","Sales","23250","المبايعات","3","Land","عدد","2017","1618","362882","أرض"
"Third Quarter","الربع الثالث","Value","22487","Mortgages","23248","الرهون","3","Units","قيمة","2017","3149067813","362883","وحده"
"Third Quarter","الربع الثالث","Number","22488","Mortgages","23248","الرهون","3","Units","عدد","2017","2141","362883","وحده"
"Third Quarter","الربع الثالث","Value","22489","Mortgages","23249","الرهون","3","Building","قيمة","2017","1237779721","362883","مبنى"
"Third Quarter","الربع الثالث","Number","22490","Mortgages","23249","الرهون","3","Building","عدد","2017","325","362883","مبنى"
"Third Quarter","الربع الثالث","Value","22491","Mortgages","23250","الرهون","3","Land","قيمة","2017","31728689879","362883","أرض"
"Third Quarter","الربع الثالث","Number","22492","Mortgages","23250","الرهون","3","Land","عدد","2017","1341","362883","أرض"
"Third Quarter","الربع الثالث","Value","22487","Other","23248","أخرى","3","Units","قيمة","2017","1302721430","362884","وحده"
"Third Quarter","الربع الثالث","Number","22488","Other","23248","أخرى","3","Units","عدد","2017","825","362884","وحده"
"Third Quarter","الربع الثالث","Value","22489","Other","23249","أخرى","3","Building","قيمة","2017","71466000","362884","مبنى"
"Third Quarter","الربع الثالث","Number","22490","Other","23249","أخرى","3","Building","عدد","2017","31","362884","مبنى"
"Third Quarter","الربع الثالث","Value","22491","Other","23250","أخرى","3","Land","قيمة","2017","3972126008","362884","أرض"
"Third Quarter","الربع الثالث","Number","22492","Other","23250","أخرى","3","Land","عدد","2017","171","362884","أرض"
"Fourth Quarter","الربع الرابع","Value","22487","Sales","23248","المبايعات","4","Units","قيمة","2017","11481220806","362882","وحده"
"Fourth Quarter","الربع الرابع","Number","22488","Sales","23248","المبايعات","4","Units","عدد","2017","9158","362882","وحده"
"Fourth Quarter","الربع الرابع","Value","22489","Sales","23249","المبايعات","4","Building","قيمة","2017","1456710030","362882","مبنى"
"Fourth Quarter","الربع الرابع","Number","22490","Sales","23249","المبايعات","4","Building","عدد","2017","658","362882","مبنى"
"Fourth Quarter","الربع الرابع","Value","22491","Sales","23250","المبايعات","4","Land","قيمة","2017","13125498141","362882","أرض"
