project_name_en,rooms,is_registered,pre_registration_number,property_sub_type_id,parent_property_id,project_name_ar,area_id,unit_parking_number,zone_id,property_type_id,is_lease_hold,unit_number,parking_allocation_type_en,project_id,land_sub_number,master_project_id,land_type_ar,parking_allocation_type_ar,common_area,floor,munc_number,actual_common_area,rooms_ar,property_type_en,is_free_hold,land_type_en,master_project_en,land_number,rooms_en,area_name_en,property_type_ar,creation_date,parcel_id,load_timestamp,property_id,area_name_ar,actual_area,property_sub_type_en,grandparent_property_id,land_type_id,unit_balcony_area,parking_allocation_type,property_sub_type_ar,master_project_ar,munc_zip_code,building_number
"null","null","null","null","null","null","null","339","null","1","null","null","330-0290            ","null","null","0","null","null","null","null","null","471","null","null","null","0","null","null","341","null","Al Mararr","null","2021-09-19 00:00:00","1170471","2026-02-26 16:09:32","1000934349124","المرر","null","null","null","null","null","null","null","null","117","341"
"null","422","null","null","null","null","null","249","null","1","3","null","1F/-38","null","null","0","null","تجارى","null","21","1","458","null","مكتب","Unit","0","Commercial","null","142","Office","Al Muteena","وحدة","2023-04-01 00:00:00","1230458","2026-02-26 16:09:32","1001325920312","المطينه","30","null","1001990233309","4","null","null","null","null","123","0"
"HELVETIA RESIDENCES","2","0","null","60","303961525","هلفيتيا ريزيدنس","441","1","2","3","0","1222","null","569452124","0","9","تجارى","null","0.31","12","397","95.52","غرفتان","Unit","1","Commercial","Jumeirah Village Circle","706","2 B/R","Al Barsha South Fourth","وحدة","2023-12-26 00:00:00","6810397","2026-02-26 16:09:32","1532499968","البرشاء جنوب الرابعة","128.76","Flat","959501152","4","21.71","null","شقه سكنيه","قرية جميرا الدائرية","681","1"
"null","421","null","null","null","null","null","360","null","1","3","null","10","null","null","0","null","مؤسسات حكومية","null","67","1","685","null","محل","Unit","0","Government Authorities","null","585","Shop","Muhaisanah Second","وحدة","2017-12-05 00:00:00","2640685","2026-02-26 16:09:32","1000315368928","محيصنه الثانيه","67","null","null","6","null","null","null","null","264","585"
"null","12","null","null","null","null","null","453","null","2","3","null","110","null","null","0","null","صناعى","null","22.4695","1","601","null","غرفه سكن عمال","Unit","0","Industrial","null","188","Room in labor Camp","Saih Shuaib 2","وحدة","2013-05-07 00:00:00","5310601","2026-02-26 16:09:32","1000303423169","سيح شعيب 2","22.47","null","null","3","null","null","null","null","531","0"
"RELIANCE 8","26","0","null","60","418167913","ريلاينس 8","442","null","2","3","null","1705","null","744","0","null","null","null","7.0422","17","null","7.04","استوديو","Unit","null","null","null","null","Studio","Al Barsha South Fifth","وحدة","2009-01-14 00:00:00","null","2026-02-26 16:09:32","1077603926","البرشاء جنوب الخامسة","39.52","Flat","null","null","7","null","شقه سكنيه","null","684","RELIANCE 7"
"null","1","1","null","60","379201937","null","390","B-1143","2","3","0","301","null","null","0","541","تجارى","null","0.06","3","4477","67.77","غرفة","Unit","1","Commercial","DownTown Dubai","198","1 B/R","Burj Khalifa","وحدة","null","3454477","2026-02-26 16:09:32","1366002149","برج خليفة","81.75","Flat","782995309","4","12.26","null","شقه سكنيه","داون تاون دبي","345","7"
"null","null","null","null","null","null","null","240","null","1","null","null","206-A59             ","null","null","0","null","null","null","null","null","294","null","null","null","0","null","null","125","null","Port Saeed","null","2025-07-17 00:00:00","1290294","2026-02-26 16:09:32","1001185527977","بور سعيد","null","null","null","null","null","null","null","null","129","0"
"null","1","1","null","60","1263208405","null","467","null","2","3","0","1408","null","null","0","215","تجارى","null","0","14","8685","null","غرفة","Unit","1","Commercial","Dubai Land Residence Complex","89","1 B/R","Wadi Al Safa 5","وحدة","2019-05-08 00:00:00","6488685","2026-02-26 16:09:32","1538457069","وادي الصفا 5","85.45","Flat","1084092903","4","9.43","null","شقه سكنيه","مجمع دبي لاند السكني","648","1"
"null","1","1","null","60","1239064897","null","343","37","2","3","0","216","null","null","0","23","تجارى","null","0","2","2048","null","غرفة","Unit","1","Commercial","International City Phase 1","32","1 B/R","Al Warsan First","وحدة","2012-08-27 00:00:00","6212048","2026-02-26 16:09:32","1750171315","ورسان الاولى","86.34","Flat","674909147","4","4.56","null","شقه سكنيه","المدينة العالمية - المرحلة الاولى","621","1"
